# go_source_id	status	crystal_refs	notes
console.go::func::ControllingConsole	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::func::DefaultConsole	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::func::NewConsole	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::Close	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::Environ	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::GetSize	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::GetWinsize	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::Getenv	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::LookupEnv	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::MakeRaw	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::Read	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::Reader	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::Restore	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::Write	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::method::Writer	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::type::Console	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::type::File	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::type::TTY	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::type::WinCon	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
console.go::type::Winsize	mapped	src/ultraviolet/console.cr,src/ultraviolet/terminal.cr	tracked for drift detection
screen/context.go::func::NewContext	mapped	src/ultraviolet/screen_context.cr	tracked for drift detection
screen/context.go::method::DrawString	mapped	src/ultraviolet/screen_context.cr	tracked for drift detection
