# go_id	kind	status	crystal_refs	notes
border_test.go::test::TestBorderConstructors	test	missing		heuristic-filter
border_test.go::test::TestBorderDrawHiddenStyleLink	test	missing		heuristic-filter
border_test.go::test::TestBorderDrawNormal	test	missing		heuristic-filter
border_test.go::test::TestBorderDrawSmallAreas	test	missing		heuristic-filter
border_test.go::test::TestBorderStyleAndLink	test	missing		heuristic-filter
buffer_test.go::test::TestBufferCellOperations	test	missing		heuristic-filter
buffer_test.go::test::TestBufferLineOperations	test	missing		heuristic-filter
buffer_test.go::test::TestBufferMethods	test	missing		heuristic-filter
buffer_test.go::test::TestBufferUniseg	test	missing		heuristic-filter
buffer_test.go::test::TestLineRenderLine	test	missing		heuristic-filter
buffer_test.go::test::TestLineSet	test	missing		heuristic-filter
buffer_test.go::test::TestLineString	test	missing		heuristic-filter
buffer_test.go::test::TestScreenBuffer	test	missing		heuristic-filter
buffer.go::func::NewLine	func	missing		heuristic-filter
cancelreader_test.go::test::TestNewCancelReader	test	missing		heuristic-filter
cell_test.go::test::TestConvertLink	test	missing		heuristic-filter
cell_test.go::test::TestConvertStyle	test	missing		heuristic-filter
cell_test.go::test::TestStyleDiff	test	missing		heuristic-filter
cell.go::const::AttrBlink	const	missing		heuristic-filter
cell.go::const::AttrBold	const	missing		heuristic-filter
cell.go::const::AttrConceal	const	missing		heuristic-filter
cell.go::const::AttrFaint	const	missing		heuristic-filter
cell.go::const::AttrItalic	const	missing		heuristic-filter
cell.go::const::AttrRapidBlink	const	missing		heuristic-filter
cell.go::const::AttrReset	const	missing		heuristic-filter
cell.go::const::AttrReverse	const	missing		heuristic-filter
cell.go::const::AttrSlowBlink	const	missing		heuristic-filter
cell.go::const::AttrStrikethrough	const	missing		heuristic-filter
cell.go::const::UnderlineCurly	const	missing		heuristic-filter
cell.go::const::UnderlineDashed	const	missing		heuristic-filter
cell.go::const::UnderlineDotted	const	missing		heuristic-filter
cell.go::const::UnderlineDouble	const	missing		heuristic-filter
cell.go::const::UnderlineNone	const	missing		heuristic-filter
cell.go::const::UnderlineSingle	const	missing		heuristic-filter
cell.go::const::UnderlineStyleCurly	const	missing		heuristic-filter
cell.go::const::UnderlineStyleDashed	const	missing		heuristic-filter
cell.go::const::UnderlineStyleDotted	const	missing		heuristic-filter
cell.go::const::UnderlineStyleDouble	const	missing		heuristic-filter
cell.go::const::UnderlineStyleNone	const	missing		heuristic-filter
cell.go::const::UnderlineStyleSingle	const	missing		heuristic-filter
cell.go::func::StyleDiff	func	missing		heuristic-filter
cell.go::method::Cell.Equal	method	missing		heuristic-filter
cell.go::method::Cell.IsZero	method	missing		heuristic-filter
cell.go::method::Link.Equal	method	missing		heuristic-filter
cell.go::method::Link.IsZero	method	missing		heuristic-filter
cell.go::method::Style.Equal	method	missing		heuristic-filter
cell.go::method::Style.IsZero	method	missing		heuristic-filter
cell.go::type::UnderlineStyle	type	missing		heuristic-filter
console.go::func::ControllingConsole	func	missing		heuristic-filter
